time,Volts,Amps,Watts
2022-07-05 18:50:30.681322+07:00,5.218,0.5177,2.701
2022-07-05 18:50:31.038796+07:00,5.218,0.4424,2.308
2022-07-05 18:50:31.336376+07:00,5.218,0.4424,2.308
2022-07-05 18:50:31.690704+07:00,5.216,0.4424,2.307
2022-07-05 18:50:31.976950+07:00,5.216,0.4424,2.307
2022-07-05 18:50:32.342497+07:00,5.216,0.576,3.004
2022-07-05 18:50:32.641352+07:00,5.216,0.576,3.004
2022-07-05 18:50:32.991364+07:00,5.19,0.576,2.989
2022-07-05 18:50:33.290090+07:00,5.19,0.576,2.989
2022-07-05 18:50:33.615117+07:00,5.19,0.6403,3.323
2022-07-05 18:50:33.947586+07:00,5.19,0.6403,3.323
2022-07-05 18:50:34.278798+07:00,5.181,0.6403,3.317
2022-07-05 18:50:34.576324+07:00,5.181,0.6403,3.317
2022-07-05 18:50:34.927626+07:00,5.181,0.671,3.476
2022-07-05 18:50:35.243763+07:00,5.181,0.671,3.476
2022-07-05 18:50:35.563791+07:00,5.182,0.671,3.477
2022-07-05 18:50:35.873824+07:00,5.182,0.671,3.477
2022-07-05 18:50:36.213792+07:00,5.182,0.4544,2.354
2022-07-05 18:50:36.536322+07:00,5.182,0.4544,2.354
2022-07-05 18:50:36.882562+07:00,5.211,0.4544,2.367
2022-07-05 18:50:37.181338+07:00,5.211,0.4544,2.367
2022-07-05 18:50:37.532559+07:00,5.211,0.5214,2.717
2022-07-05 18:50:37.836386+07:00,5.211,0.5214,2.717
2022-07-05 18:50:38.178890+07:00,5.219,0.5214,2.721
2022-07-05 18:50:38.490086+07:00,5.219,0.5214,2.721
2022-07-05 18:50:38.841354+07:00,5.219,0.4511,2.354
2022-07-05 18:50:39.121358+07:00,5.219,0.4511,2.354
2022-07-05 18:50:39.464068+07:00,5.219,0.4511,2.354
2022-07-05 18:50:39.787721+07:00,5.219,0.4511,2.354
2022-07-05 18:50:40.114588+07:00,5.219,0.4571,2.385
2022-07-05 18:50:40.436508+07:00,5.219,0.4571,2.385
2022-07-05 18:50:40.782758+07:00,5.198,0.4571,2.376
2022-07-05 18:50:41.081564+07:00,5.198,0.4571,2.376
2022-07-05 18:50:41.435282+07:00,5.198,0.4442,2.308
2022-07-05 18:50:41.726518+07:00,5.198,0.4442,2.308
2022-07-05 18:50:42.071586+07:00,5.219,0.4442,2.318
2022-07-05 18:50:42.372852+07:00,5.219,0.4442,2.318
2022-07-05 18:50:42.710300+07:00,5.219,0.539,2.813
2022-07-05 18:50:43.021598+07:00,5.219,0.539,2.813
2022-07-05 18:50:43.360329+07:00,5.22,0.539,2.813
2022-07-05 18:50:43.690376+07:00,5.22,0.539,2.813
2022-07-05 18:50:44.031701+07:00,5.22,0.4399,2.296
2022-07-05 18:50:44.321581+07:00,5.22,0.4399,2.296
2022-07-05 18:50:44.667892+07:00,5.215,0.4399,2.294
2022-07-05 18:50:44.989051+07:00,5.215,0.4399,2.294
2022-07-05 18:50:45.320293+07:00,5.215,0.4757,2.48
2022-07-05 18:50:45.620258+07:00,5.215,0.4757,2.48
2022-07-05 18:50:45.969105+07:00,5.217,0.4757,2.481
2022-07-05 18:50:46.284063+07:00,5.217,0.4757,2.481
2022-07-05 18:50:46.619091+07:00,5.217,0.4526,2.361
2022-07-05 18:50:46.939079+07:00,5.217,0.4526,2.361
2022-07-05 18:50:47.305334+07:00,5.212,0.4526,2.358
2022-07-05 18:50:47.570351+07:00,5.212,0.4526,2.358
2022-07-05 18:50:47.929113+07:00,5.212,0.4728,2.464
2022-07-05 18:50:48.220375+07:00,5.212,0.4728,2.464
2022-07-05 18:50:48.567873+07:00,5.216,0.4728,2.466
2022-07-05 18:50:48.872889+07:00,5.216,0.4728,2.466
2022-07-05 18:50:49.226606+07:00,5.216,0.4493,2.343
2022-07-05 18:50:49.520388+07:00,5.216,0.4493,2.343
2022-07-05 18:50:49.859226+07:00,5.21,0.4493,2.34
2022-07-05 18:50:50.174289+07:00,5.21,0.4493,2.34
2022-07-05 18:50:50.514294+07:00,5.21,0.4675,2.435
2022-07-05 18:50:50.819225+07:00,5.21,0.4675,2.435
2022-07-05 18:50:51.159316+07:00,5.22,0.4675,2.44
2022-07-05 18:50:51.475520+07:00,5.22,0.4675,2.44
2022-07-05 18:50:51.811878+07:00,5.22,0.4944,2.58
2022-07-05 18:50:52.135521+07:00,5.22,0.4944,2.58
2022-07-05 18:50:52.461799+07:00,5.213,0.4944,2.577
2022-07-05 18:50:52.789348+07:00,5.213,0.4944,2.577
2022-07-05 18:50:53.129334+07:00,5.213,0.4407,2.297
2022-07-05 18:50:53.418040+07:00,5.213,0.4407,2.297
2022-07-05 18:50:53.766831+07:00,5.219,0.4407,2.3
2022-07-05 18:50:54.084343+07:00,5.219,0.4407,2.3
2022-07-05 18:50:54.410647+07:00,5.219,0.4422,2.307
2022-07-05 18:50:54.733084+07:00,5.219,0.4422,2.307
2022-07-05 18:50:55.074352+07:00,5.205,0.4422,2.301
2022-07-05 18:50:55.370592+07:00,5.205,0.4422,2.301
2022-07-05 18:50:55.726765+07:00,5.205,0.4622,2.405
2022-07-05 18:50:56.030545+07:00,5.205,0.4622,2.405
2022-07-05 18:50:56.358143+07:00,5.216,0.4622,2.41
2022-07-05 18:50:56.681814+07:00,5.216,0.4622,2.41
2022-07-05 18:50:57.029883+07:00,5.216,0.4579,2.388
2022-07-05 18:50:57.319354+07:00,5.216,0.4579,2.388
2022-07-05 18:50:57.660613+07:00,5.202,0.4579,2.381
2022-07-05 18:50:57.966800+07:00,5.202,0.4579,2.381
2022-07-05 18:50:58.310614+07:00,5.202,0.443,2.304
2022-07-05 18:50:58.633091+07:00,5.202,0.443,2.304
2022-07-05 18:50:58.955613+07:00,5.22,0.443,2.312
2022-07-05 18:50:59.265622+07:00,5.22,0.443,2.312
2022-07-05 18:50:59.613145+07:00,5.22,0.5028,2.624
