time,Volts,Amps,Watts
2022-07-05 18:23:01.314883+07:00,5.202,0.5157,2.682
2022-07-05 18:23:01.652305+07:00,5.209,0.5157,2.686
2022-07-05 18:23:01.970041+07:00,5.209,0.5157,2.686
2022-07-05 18:23:02.306196+07:00,5.209,0.6677,3.478
2022-07-05 18:23:02.613652+07:00,5.209,0.6677,3.478
2022-07-05 18:23:02.959988+07:00,5.202,0.6677,3.473
2022-07-05 18:23:03.281181+07:00,5.202,0.6677,3.473
2022-07-05 18:23:03.617428+07:00,5.202,0.5261,2.736
2022-07-05 18:23:03.927460+07:00,5.202,0.5261,2.736
2022-07-05 18:23:04.252461+07:00,5.22,0.5261,2.746
2022-07-05 18:23:04.562484+07:00,5.22,0.5261,2.746
2022-07-05 18:23:04.901293+07:00,5.22,0.5041,2.631
2022-07-05 18:23:05.211302+07:00,5.22,0.5041,2.631
2022-07-05 18:23:05.557593+07:00,5.212,0.5041,2.627
2022-07-05 18:23:05.881367+07:00,5.212,0.5041,2.627
2022-07-05 18:23:06.201353+07:00,5.212,0.4703,2.451
2022-07-05 18:23:06.531364+07:00,5.212,0.4703,2.451
2022-07-05 18:23:06.859505+07:00,5.209,0.4703,2.449
2022-07-05 18:23:07.180266+07:00,5.209,0.4703,2.449
2022-07-05 18:23:07.502844+07:00,5.209,0.5876,3.06
2022-07-05 18:23:07.824035+07:00,5.209,0.5876,3.06
2022-07-05 18:23:08.165364+07:00,5.215,0.5876,3.064
2022-07-05 18:23:08.462917+07:00,5.215,0.5876,3.064
2022-07-05 18:23:08.810370+07:00,5.215,0.4391,2.289
2022-07-05 18:23:09.121672+07:00,5.215,0.4391,2.289
2022-07-05 18:23:09.461636+07:00,5.219,0.4391,2.291
2022-07-05 18:23:09.759261+07:00,5.219,0.4391,2.291
2022-07-05 18:23:10.099207+07:00,5.219,0.4434,2.314
2022-07-05 18:23:10.410470+07:00,5.219,0.4434,2.314
2022-07-05 18:23:10.759302+07:00,5.22,0.4434,2.314
2022-07-05 18:23:11.086731+07:00,5.22,0.4434,2.314
2022-07-05 18:23:11.400577+07:00,5.22,0.4364,2.278
2022-07-05 18:23:11.713143+07:00,5.22,0.4364,2.278
2022-07-05 18:23:12.049376+07:00,5.22,0.4364,2.278
2022-07-05 18:23:12.368126+07:00,5.22,0.4364,2.278
2022-07-05 18:23:12.705622+07:00,5.22,0.6289,3.282
2022-07-05 18:23:13.016876+07:00,5.22,0.6289,3.282
2022-07-05 18:23:13.354354+07:00,5.219,0.6289,3.282
2022-07-05 18:23:13.660537+07:00,5.219,0.6289,3.282
2022-07-05 18:23:14.006766+07:00,5.219,0.4354,2.272
2022-07-05 18:23:14.327939+07:00,5.219,0.4354,2.272
2022-07-05 18:23:14.659266+07:00,5.215,0.4354,2.27
2022-07-05 18:23:14.964215+07:00,5.215,0.4354,2.27
2022-07-05 18:23:15.311655+07:00,5.215,0.5053,2.635
2022-07-05 18:23:15.612966+07:00,5.215,0.5053,2.635
2022-07-05 18:23:15.961648+07:00,5.216,0.5053,2.635
2022-07-05 18:23:16.279082+07:00,5.216,0.5053,2.635
2022-07-05 18:23:16.599101+07:00,5.216,0.4516,2.355
2022-07-05 18:23:16.915402+07:00,5.216,0.4516,2.355
2022-07-05 18:23:17.249029+07:00,5.213,0.4516,2.354
2022-07-05 18:23:17.557815+07:00,5.213,0.4516,2.354
2022-07-05 18:23:17.901648+07:00,5.213,0.4499,2.345
2022-07-05 18:23:18.222853+07:00,5.213,0.4499,2.345
2022-07-05 18:23:18.547870+07:00,5.216,0.4499,2.346
2022-07-05 18:23:18.867879+07:00,5.216,0.4499,2.346
2022-07-05 18:23:19.197862+07:00,5.216,0.4434,2.312
2022-07-05 18:23:19.514043+07:00,5.216,0.4434,2.312
2022-07-05 18:23:19.847763+07:00,5.215,0.4434,2.312
2022-07-05 18:23:20.178960+07:00,5.215,0.4434,2.312
2022-07-05 18:23:20.508987+07:00,5.215,0.4401,2.295
2022-07-05 18:23:20.821493+07:00,5.215,0.4401,2.295
2022-07-05 18:23:21.167673+07:00,5.22,0.4401,2.297
2022-07-05 18:23:21.457668+07:00,5.22,0.4401,2.297
2022-07-05 18:23:21.808969+07:00,5.22,0.4703,2.454
2022-07-05 18:23:22.126361+07:00,5.22,0.4703,2.454
2022-07-05 18:23:22.446378+07:00,5.213,0.4703,2.451
2022-07-05 18:23:22.772573+07:00,5.213,0.4703,2.451
2022-07-05 18:23:23.108801+07:00,5.213,0.4638,2.417
2022-07-05 18:23:23.405019+07:00,5.213,0.4638,2.417
2022-07-05 18:23:23.752528+07:00,5.219,0.4638,2.42
2022-07-05 18:23:24.056194+07:00,5.219,0.4638,2.42
2022-07-05 18:23:24.394915+07:00,5.219,0.4426,2.309
2022-07-05 18:23:24.712411+07:00,5.219,0.4426,2.309
2022-07-05 18:23:25.057392+07:00,5.205,0.4426,2.303
2022-07-05 18:23:25.354861+07:00,5.205,0.4426,2.303
2022-07-05 18:23:25.699878+07:00,5.205,0.4671,2.431
2022-07-05 18:23:26.023551+07:00,5.205,0.4671,2.431
2022-07-05 18:23:26.348570+07:00,5.213,0.4671,2.434
2022-07-05 18:23:26.674804+07:00,5.213,0.4671,2.434
2022-07-05 18:23:27.011085+07:00,5.213,0.4616,2.406
2022-07-05 18:23:27.316045+07:00,5.213,0.4616,2.406
2022-07-05 18:23:27.666028+07:00,5.205,0.4616,2.402
2022-07-05 18:23:27.953485+07:00,5.205,0.4616,2.402
2022-07-05 18:23:28.293539+07:00,5.205,0.4389,2.284
2022-07-05 18:23:28.603529+07:00,5.205,0.4389,2.284
2022-07-05 18:23:28.943546+07:00,5.22,0.4389,2.291
2022-07-05 18:23:29.268466+07:00,5.22,0.4389,2.291
2022-07-05 18:23:29.593453+07:00,5.22,0.4585,2.393
2022-07-05 18:23:29.912219+07:00,5.22,0.4585,2.393
2022-07-05 18:23:30.246019+07:00,5.219,0.4585,2.392
2022-07-05 18:23:30.553454+07:00,5.219,0.4585,2.392
2022-07-05 18:23:30.905911+07:00,5.219,0.4403,2.297
2022-07-05 18:23:31.208511+07:00,5.219,0.4403,2.297
2022-07-05 18:23:31.556044+07:00,5.217,0.4403,2.297
2022-07-05 18:23:31.852158+07:00,5.217,0.4403,2.297
2022-07-05 18:23:32.197119+07:00,5.217,0.4368,2.278
2022-07-05 18:23:32.507100+07:00,5.217,0.4368,2.278
2022-07-05 18:23:32.849547+07:00,5.22,0.4368,2.28
2022-07-05 18:23:33.158388+07:00,5.22,0.4368,2.28
2022-07-05 18:23:33.512018+07:00,5.22,0.4583,2.392
2022-07-05 18:23:33.809515+07:00,5.22,0.4583,2.392
2022-07-05 18:23:34.140679+07:00,5.219,0.4583,2.391
2022-07-05 18:23:34.451874+07:00,5.219,0.4583,2.391
2022-07-05 18:23:34.805640+07:00,5.219,0.4804,2.507
2022-07-05 18:23:35.121870+07:00,5.219,0.4804,2.507
2022-07-05 18:23:35.455579+07:00,5.215,0.4804,2.505
2022-07-05 18:23:35.771855+07:00,5.215,0.4804,2.505
2022-07-05 18:23:36.090533+07:00,5.215,0.4681,2.441
2022-07-05 18:23:36.405581+07:00,5.215,0.4681,2.441
2022-07-05 18:23:36.756777+07:00,5.213,0.4681,2.44
2022-07-05 18:23:37.050536+07:00,5.213,0.4681,2.44
2022-07-05 18:23:37.389312+07:00,5.213,0.5171,2.695
2022-07-05 18:23:37.704297+07:00,5.213,0.5171,2.695
2022-07-05 18:23:38.040497+07:00,5.216,0.5171,2.697
2022-07-05 18:23:38.349213+07:00,5.216,0.5171,2.697
2022-07-05 18:23:38.724187+07:00,5.216,0.4642,2.421
2022-07-05 18:23:39.015542+07:00,5.216,0.4642,2.421
2022-07-05 18:23:39.354237+07:00,5.22,0.4642,2.423
2022-07-05 18:23:39.669262+07:00,5.22,0.4642,2.423
2022-07-05 18:23:39.994295+07:00,5.22,0.443,2.312
2022-07-05 18:23:40.320467+07:00,5.22,0.443,2.312
2022-07-05 18:23:40.647972+07:00,5.218,0.443,2.311
2022-07-05 18:23:40.973041+07:00,5.218,0.443,2.311
2022-07-05 18:23:41.294219+07:00,5.218,0.4411,2.301
2022-07-05 18:23:41.612855+07:00,5.218,0.4411,2.301
2022-07-05 18:23:41.960377+07:00,5.213,0.4411,2.299
2022-07-05 18:23:42.305415+07:00,5.213,0.4411,2.299
2022-07-05 18:23:42.604123+07:00,5.213,0.5394,2.811
2022-07-05 18:23:42.905455+07:00,5.213,0.5394,2.811
2022-07-05 18:23:43.257841+07:00,5.191,0.5394,2.8
2022-07-05 18:23:43.555393+07:00,5.191,0.5394,2.8
2022-07-05 18:23:43.901531+07:00,5.191,0.5931,3.078
2022-07-05 18:23:44.197844+07:00,5.191,0.5931,3.078
2022-07-05 18:23:44.542752+07:00,5.198,0.5931,3.082
